Lost,VDSS,V/VDSS,CISS,COSS,CRSS,IDSS,VGS,RDS(ON),LETth,FAILURE MODE,ION
17,1199,0.2753580120511996,4790,555.8062106159234,258.43950620184427,41,9.913440754446864,0.38448802375193664,-7.402704182955397,2,0
18,-247,-0.4125093845658401,1042,2382.2325391330287,324.0875053763791,5,5.3407550679721405,0.7641616104041327,-21.363415373353796,0,1
19,-71,0.17301722439957168,586,797.9819514626013,351.3000647750334,20,-5.620062281916949,0.05759769633025923,-8.76285236217938,0,2
20,170,-0.03181415016203992,1429,336.82138639385954,-66.8093672070951,92,0.8820268254477039,0.25985558062449393,26.058394834735907,0,2
21,640,0.2632468065649166,5324,2116.5538527456642,487.6867404995585,35,1.0202323660661812,0.05572245858668661,24.449731847355586,1,2
22,-53,0.6173285537171773,610,319.88579476913947,-104.96952764918501,43,5.494810227879144,1.0738771875961863,10.77680707907177,0,0
23,1930,0.05873197047271134,1187,112.61176808954087,175.8165702004648,23,2.1759350915857025,0.14083454935205925,-1.3303418611238769,1,3
24,1732,0.13555223036109587,-1364,934.5873710739306,120.8308030490436,22,7.561615674028166,-0.18726673004500952,-19.960595769034377,0,2
25,75,-0.22216213902571968,4561,171.5754861541505,200.27103568210873,9,4.59519322200581,0.9845112407578624,-10.188903343423242,2,0
26,958,0.9309015142222923,148,159.36567861478449,597.5571283345616,18,2.7374093676426736,0.20516258330889092,5.1099671184447,2,2
27,447,0.19845131145732087,-538,707.8435255639318,183.8342709273688,39,5.496895005591579,-0.07483475871433024,-2.2033062930687777,2,1
28,271,-0.1945507203346034,990,-83.66220901627304,75.40877791972676,20,1.4588180758157137,0.710647305915378,17.28554175223852,0,1
29,528,-0.4687642680267943,128,-36.21722663211722,732.492853894197,39,5.056816061880188,0.46718462230216795,5.774807976721714,0,3
30,1735,-0.5210861874129228,1678,491.6277685022475,40.16902957154485,31,7.1878008647146485,0.20995844945591163,-12.141457626837052,1,0
31,612,0.4462822129854438,2255,-26.937915489240083,244.58484571644004,90,4.2614144242512895,0.05151150502001117,32.21821714825595,2,2
32,137,0.944392249990148,2213,55.81898525379461,259.6102165468507,27,3.991408159140724,0.5845051826323465,17.064949541015828,2,0
33,2416,1.002649216774779,4512,-79.70440467509263,550.612584182838,20,6.846574572849063,0.3858568773289042,0.8000732822514252,1,2
34,479,1.2432803058681614,5188,2738.8684511524816,925.030795217458,-3,4.159387235717696,0.2067909124320244,-19.883562680494897,1,3
35,853,0.5494050283695194,138,1106.6006384367506,104.42045847537999,13,7.223243162946923,0.6887390091220044,0.801707269037685,0,0
36,854,0.8472397825382141,17761,1635.141603031745,721.093666882892,17,4.762300202666015,1.1155215157186469,-28.2211340678738,1,2
37,2113,1.1421025457308718,18360,-202.77299084209625,220.41077652689933,25,1.2457004306389705,0.40892460879622117,-15.109748434568715,1,1
38,720,0.0022556157133626353,5827,313.3311417663795,74.25457044414394,26,2.1724010852626585,0.4550428281579005,-19.9116920227004,0,3
39,-346,0.7819785560983916,6910,385.35365437722027,140.653309137487,-11,2.8276522883834536,0.24576427508523913,3.5044412658416633,1,3
40,398,0.32112278090308677,5051,2529.93093525507,204.30571747409738,17,1.0806095608762587,0.01998689835342915,18.32474935814384,1,0
41,162,0.4905603958472085,19190,28.540452473176288,1005.9846134111319,44,5.089589758172689,-0.1920006908264417,24.137636376102392,1,3
42,509,-0.3682055008029821,148,19.38982259954696,815.036050845174,64,5.262862352312995,-0.060765343495407464,2.9031501088092,0,3
43,-225,0.24311330112546997,2128,234.9999566219547,366.512951823649,13,1.098470496859115,0.2504419884839957,-15.132792042840457,2,1
44,-35,0.820901579298537,-1067,605.7687582276085,170.9782438946639,20,2.4519262887671722,0.20277265132647154,6.565248085805102,1,2
45,1049,-0.0740512814515576,11916,467.37309494399074,147.22298249447203,5,2.341811805079187,0.17025143501832102,-25.186748694391838,2,0
46,607,-0.4837286231899197,3701,-22.548547703842246,570.9230487104765,26,-1.3771819351855072,0.4071174848596891,-1.9198794995128807,1,2
47,637,-0.0711838130156246,4383,41.43299845105588,241.17174986782214,44,2.4023966625709416,0.11154252290194369,-23.466116662606176,1,3
48,-1,0.23557204888208505,4531,374.8158066380968,181.5204784257874,26,-0.5276662948042541,0.6363108373653931,-12.865972960973117,2,3
49,1578,0.3401764132611112,1803,982.6696224735125,56.450662708216335,24,7.577748463421679,0.08649956809762269,3.2910541772816124,1,3
50,125,-0.49316061671224876,-1753,610.5360767297925,84.63321214750601,35,9.219305994013872,0.9245967305830758,-9.054177424381813,0,2
51,-192,0.3913335250685883,4008,442.5575156522878,190.33523504746842,19,-2.189057189273882,0.23412413560788392,-12.879660097231607,1,0
52,639,-0.055115700611446106,9559,503.8414575777307,951.1701499792371,64,7.499443658447435,0.05264252119054608,2.2616604797881408,1,2
53,1482,-0.3393970964475531,12146,-164.21108605676915,15.473630236621972,20,4.089373029624304,0.23645406100542113,10.278187421827731,1,0
54,880,0.26681215801735003,12684,246.42344811974428,238.39589394317034,82,2.639883830161142,0.07594428770671124,2.4480648134474734,0,1
55,838,0.11987420633640705,18830,260.55299608992186,174.14458285508138,42,2.026437098379252,0.4087340914054809,16.997634479022988,0,1
56,30,0.6897309287139903,6907,1331.0797715919468,-40.5530134571769,60,2.2779702427777635,-0.1196903905590585,19.289486717865145,2,0
57,721,0.49613556950182297,7540,648.7395810659607,91.11565348011845,44,7.875977939700787,0.1691538758380281,18.091702492138356,1,0
58,686,0.4262042025180467,18399,660.3754757651366,100.03661711676057,26,3.358021782234248,-0.06595767121799789,10.882634690256634,1,0
59,291,1.2329612534834768,8778,618.2441420524158,593.5841438237321,19,4.62789505856406,0.3852398794411624,-1.4672971203408594,1,3
60,-115,-0.06493003629933047,-5808,98.3373318819099,53.61457940978411,33,-2.338253137941198,0.09687408752214308,-0.6024866420163875,0,2
61,298,-0.09339017400605665,9131,438.43098331254225,805.8266583422082,34,1.606087120262014,0.7023759388968727,23.843415881324546,0,3
62,1866,0.2980837019147171,-409,623.4093417711224,852.454616546087,8,4.830217270832904,0.17591279993459136,-24.675854160862272,1,3
63,846,-0.1414870031585339,9546,639.8776697212243,13.234605420103506,21,6.639352445537252,-0.10452974542886406,-2.0429878193626934,1,3
64,-572,0.06408671690511508,10997,2087.9711295509114,-26.16122192228059,49,-3.9811683874202495,0.8167092942748044,19.7233641431661,0,3
65,582,0.8054915821004336,15797,790.2600076679834,226.17062522715577,35,2.1930832306897745,0.1883611870659586,-18.718326352928628,0,3
66,498,0.8014619468405995,2955,605.385959551427,26.69585194083112,28,-2.609304727276755,0.15338367734868122,32.95367312756624,2,2
67,1631,1.4773212838957894,12682,2709.328651008686,58.522036249995836,12,1.2030042170718644,0.4116968695415697,5.2786333070404865,2,0
68,272,0.11102654337631418,-1351,258.90730399124,158.03849064881308,2,3.0929450593285273,0.04719035141461741,-14.123383721626354,0,2
69,1056,0.7804541364061841,2191,255.96909997303263,206.47669010308402,72,3.161649234412715,0.3514644358849299,-12.212294349837443,2,0
70,118,-0.39935506139203014,2885,372.2649007093659,210.40646272474714,29,-0.7595528380683352,0.1294593249458485,19.296954516887673,2,3
71,483,-0.23509636018137603,939,3214.022190496077,302.67946388883286,66,-7.797690796081937,-0.07737736352058122,-6.530838397382674,0,3
72,519,0.7005048364335595,12790,152.0534824471048,53.24040566273039,24,3.110811308188202,-0.10561811118607362,-20.150653601265923,1,2
73,359,0.1886582582966096,3075,523.7054008521973,692.9532426512496,7,-5.545196187344023,0.41166570924766416,3.802617886328779,1,0
74,692,0.25907478572117393,5886,638.031452713825,265.57034955191284,32,1.1770215624667657,0.7952292492234807,9.187938703009827,0,0
75,364,0.11477942753831366,7431,749.2112581428643,96.64481336992655,31,1.7641582383104837,0.9924908986246318,39.75155017719397,0,1
76,1817,-0.17841394830691648,-371,113.63796702391318,192.24961404406878,44,4.155347364098088,0.22824434697837057,-16.657689236958703,1,2
77,388,0.7741275139810735,1142,386.42905376225394,235.93860186276635,7,5.482735411299636,0.20542983829161293,-25.655047709302593,0,2
78,1541,-0.055111749259893816,973,1199.4316544042695,310.88746941779107,36,1.9452165773998888,0.06518415956494727,-3.684097829191181,0,0
79,186,0.5134183355644227,2832,150.56808986856217,-47.24439501131981,31,1.7351854812307974,0.20513090499777956,21.741353804506897,2,0
80,409,-0.1619469058851214,-3306,169.4043288156863,82.57329671908693,34,-3.2790154890324814,0.3535782327283945,-27.45361172211407,1,0
81,666,0.5643361369193668,1766,278.2835104684457,111.45204545784007,-9,4.121723194374068,0.44788292794988366,-0.14406345922208885,1,1
82,570,0.740845847128901,10996,559.344033651115,-12.256642899526867,39,3.0565532010086356,0.26836893334133705,2.1478906541018503,1,2
83,385,0.1456054076452879,1076,2643.519181464861,195.93127660953422,20,-0.02229928308308371,0.4131803510048808,17.763043428670418,0,2
84,442,0.1397424626320427,6475,392.8854662741122,634.2144665430777,-8,2.7506932454943014,0.39386287765748107,-19.789027156477175,1,1
85,860,0.3495110803000308,4241,-152.60459597405685,216.4482523480587,12,8.354404666490717,0.6756232019611538,-20.47698353442484,1,1
86,1144,1.2382496485076353,1186,87.35155487485832,22.581907339926076,31,2.9248301381207873,0.14868844018589716,3.6109360550052685,1,1
87,2264,0.6156088257597501,12686,347.16904282398997,219.8858348757599,40,-1.2366468865312543,-0.10158933326482383,-2.835946824946653,0,1
88,1276,0.5810771136339294,2799,1611.5589216858803,326.03328060020124,17,-5.299419813764187,0.23979666944635636,2.3401617593886215,0,1
89,151,0.924115517837502,6314,782.5757068522003,223.40083141143782,28,5.359330781754787,0.2940434660823642,-6.397239003447979,0,1
90,-748,1.38212493107373,4881,1063.7157163691231,305.62541943330876,36,-5.441017125470503,0.4763947699994401,10.27139978478652,2,0
91,1153,0.5008970740472799,4310,878.9017449258588,860.690475014339,81,-2.6666230260439034,0.2748704479847669,-12.504318550640356,1,3
92,1287,-0.14535302899072533,7093,776.7069826729971,1030.8846372497076,44,-2.245332839090193,0.29800447607267955,39.518944267891506,0,3
93,1338,0.30027949927019015,765,173.07106578462526,671.6436670398404,34,4.038243364963049,0.14077116715703242,-1.4131837926638937,1,3
94,487,0.5299702275147177,-310,233.75391619555515,231.60339022782352,92,0.9437492675878095,0.3540217674431595,13.931508213079347,1,3
95,1846,0.43507469333587023,-823,827.5804229299708,434.11051287458974,16,2.2855675947681506,0.22675336299299792,-8.719110256255789,1,1
96,897,0.39987145683818687,5367,338.7848495565059,167.0715556709619,18,3.8752526605993465,0.3831062290319841,1.9322982826420017,0,1
97,2333,0.7355608557441986,2849,-403.6250892770586,82.1081737473727,8,5.704621975422539,0.8550810155383857,-24.87145716096503,1,0
98,1827,-0.1784263109513773,17463,-195.7408820076048,178.10412992064403,40,0.8380188420228374,0.26546062783287727,6.659330168501942,2,0
99,1049,1.5101774371325254,11470,657.4171115236263,282.12644602854107,11,2.836600993850358,0.4929632998969275,19.806600588630676,2,0
100,-184,0.5893897009981665,-258,919.6445660329222,826.0073637589305,30,2.9324605196803826,1.4566255553606822,-21.53973413331653,1,3
101,253,0.47852384792091796,-2147,1106.8617924041841,631.38344495043,61,4.157531469796077,1.3002136777103463,-26.231489482935224,0,0
102,474,-0.02958374913876438,4592,551.7639762707089,71.60281214626609,7,4.9234376671291455,-0.004726724406286215,-12.779024089540009,0,0
103,284,0.23441398989890672,15096,249.43028799445722,-244.9104456509163,13,2.070862470980499,0.8025029224742474,2.2323745625835585,1,3
104,125,0.14665654540279727,2675,-242.48962702763333,156.1626419325818,35,3.555551861517582,0.690287570741038,-13.888792758083241,1,0
105,854,0.7301632508402542,3402,490.7847463865992,362.32274285624663,37,3.3699513312148284,0.9730526516464122,6.646306215144474,0,3
106,272,1.324669775675885,12915,861.3686086392717,271.71199377172456,-9,-0.20041298544258956,1.0112355437697778,-5.629684697066516,2,0
107,2113,0.32956128336604884,4253,-2.6780612684922858,267.94352118955874,20,5.319362527866964,0.2537717849500637,-25.834802236101957,2,0
108,818,0.25271917367724855,10366,-116.78318243152921,553.9053798058001,18,3.2371421791156294,0.4593908427816041,-9.997419268446727,0,1
109,623,0.7164175746526871,6139,-150.29487602524694,224.1757055739306,12,1.334332141939211,0.9901350492740245,-7.197852577937745,1,1
110,2622,-0.29924620053308915,7205,-108.00840761187345,745.7122701740866,13,4.3960185666688005,0.027596341029092336,0.568734311969969,2,2
111,553,0.2886038813896876,8718,850.5396615343607,57.77190739352506,27,-4.681545089622509,0.10638925264296777,-16.07157138509546,0,3
112,514,-0.1240128355584017,1077,202.30087053588093,84.58591705532885,39,1.753301333148241,1.0233250904478486,13.869069143440122,0,2
113,838,0.04870394882265949,12874,125.26177351060969,525.9460634705267,20,3.2778401205324945,0.2556183843496155,-5.96934620456711,1,0
114,-251,0.09351513135362916,3792,389.89269102669755,951.962138071071,17,0.7873027614774415,0.9701081719362477,-6.7018117433600395,0,2
115,677,-0.356819583499164,12330,270.53943597683286,270.35476890442317,41,2.127300813603468,0.34495221300014467,-21.558099505581644,1,1
116,2225,0.4861681727344375,13654,1408.8237516226295,806.5613596847741,71,4.594613707049877,0.22481271960627197,-18.57249403102444,1,0
117,126,0.6056147916013923,4716,257.42856547461264,73.89822312575916,49,0.679592530760454,0.283284309707157,-22.368896533172084,0,2
118,386,-0.33745600477803595,1417,561.4577756335163,334.7406447657914,51,4.631568916188872,0.8258384594919785,-3.928500703607277,2,2
119,1703,-0.2868401303274989,915,217.47145837495248,-137.8475952483895,44,5.52403284153269,0.20371197878123354,-13.935243526698976,1,0
120,1661,0.06892011966636463,7834,797.8879390735415,477.94524316535046,15,2.4031768445578754,0.024729712798157263,4.587882372229771,1,2
121,155,-0.11343518481964776,2466,270.4938516919623,230.2920828475659,36,0.6048720599993809,0.29157764680370024,25.568798060515746,1,0
122,41,-0.39469974330668434,4784,797.8942299395658,353.50663300338783,2,-0.21640138116771968,0.02852943511284857,-16.144633366384227,0,0
123,1910,-0.13827936638846572,5046,-48.918785190024664,142.67804976861515,29,5.886776946734896,-0.05108457948380063,-1.7116440636689205,0,3
124,897,0.5918902561226874,896,2402.836598101081,652.1326860665567,22,5.105028043757297,0.23957085442974502,-16.553433688855485,1,0
125,379,0.12936245771549132,6578,1003.4966461521839,-23.449592834166765,30,-9.85395780418088,0.0340243913994686,-17.798184048223497,0,1
126,275,0.3105674298711134,1974,168.9470520000666,94.47465114901114,53,4.7972725186041165,0.7659536613566598,18.79449858626587,0,0
127,167,-0.18567058587165464,5228,774.8478060878679,770.1734687523392,34,2.1776348446189906,1.0053766947626301,35.32087618390202,2,1
128,-186,0.44064131632440884,8790,271.6438280602116,207.80959401588774,95,3.507071181591536,0.7993364490122156,1.2516129461393106,1,2
129,501,-0.04026249188159026,4686,686.3264756646493,59.629585296598634,0,3.9676641112817306,0.18480117477621372,-7.708000031934233,1,1
130,867,0.44677828365558,3438,583.0462457973558,240.9551419577511,30,-2.314534675103501,0.228570643172619,1.6509569196543907,0,3
131,442,-0.25094378373301207,14909,23.846677198160364,-115.25543765948449,27,1.7202272631130233,0.11779018590861416,1.2050383301143484,0,1
132,-87,-0.5532310973702362,2255,-260.04760697552933,1035.0333270832705,11,6.207336302853533,0.34260222306290733,-1.1100612659631182,0,2
133,-208,1.1457979592450456,-1188,718.3475960173332,251.88490872899285,12,3.6358196435420904,1.0941279841587792,-21.979831894622876,0,0
134,375,0.13411937639471277,376,780.6555663855236,238.90640769678004,62,4.204138130145177,0.1567644276269707,25.508801980900476,0,1
135,866,-0.34319266303077645,6767,-216.39312680439912,119.85788061725621,38,6.105573208563038,0.3081674792380964,-16.373439457393097,2,0
136,572,0.6991703163496202,3943,723.7011056882413,855.709594153602,19,2.699738490948012,0.3643485004869945,-24.72707505227212,0,3
137,969,0.04061412379247259,5844,-559.7985237099213,95.34021596458692,79,-0.19249003334313008,0.34497229367421234,-8.459282386774298,1,3
138,-8,0.766787115587884,2684,201.25726806099937,196.1812308158772,59,4.949370209662557,0.35085130233319983,29.702598359252583,0,1
139,13,1.174320770864513,3586,1123.7594076458959,138.48531815315317,19,2.108501636626361,0.14832140331807517,11.35250976332675,1,2
140,474,0.7643310767420525,2508,2590.7991348104542,734.6142644749906,41,-0.5618914145235363,0.06220308664234636,-18.516103509048776,2,2
141,2039,-0.14455767278221843,18409,-229.98154507157255,196.19143364919523,94,5.314073522522231,0.08379783970089447,-10.334036526726955,1,3
142,1460,-0.1498030332845195,3085,-202.74380802769656,297.3419574503101,20,1.3446115675833665,0.062233336073027154,-12.520422708917643,1,0
143,1330,0.04259191217244612,2422,540.8241950405238,154.22867380249494,22,1.5314232045399354,0.6367792086601769,7.017726592956478,1,3
144,1610,0.8480221892678714,2285,2112.345253477006,288.51509299502374,19,3.1566234625106238,0.11870301834000115,10.57764446472315,1,0
145,-124,0.20280730488200327,1682,295.20722627596626,172.42628097971482,8,3.32112908303631,0.47713991155679625,3.79455981457356,1,2
146,377,0.6716805288661897,5878,2995.5970371868825,-25.701414253268126,16,2.1983346226807776,0.002475248521763687,4.0651364406526795,2,2
147,-403,-0.008443861844539824,11106,1374.3860991078311,185.34526693461754,32,4.970097400540036,-0.017301306932815314,7.623937688197444,1,0
148,1383,0.9529679347721032,4137,-74.96370242056969,558.7968505064646,36,3.4882294438502823,1.1641710464067612,-18.720939133755557,2,1
149,623,-0.5331842086866004,928,-23.72821782338832,62.0424457072414,28,3.307969075772485,0.25024673878752773,-13.817828192595911,0,0
150,655,-0.16450910307191635,4419,730.1790250787899,526.2825805346208,34,0.7910478085676635,0.09249224212915114,30.0061763248131,2,1
151,177,0.6694482108505768,15056,899.0896618005752,415.86991545495397,39,-0.08840706956580546,0.15252965117868272,21.126763033754493,1,0
152,159,-0.018463002734172007,9964,218.96371097446965,190.56158628409042,28,-0.6886136260755544,0.35641443571562037,-13.533091013548834,0,2
153,395,0.10851657445013696,2715,308.5076929843207,445.91281218761515,11,2.9704453658749412,0.3300737314271054,-23.509623058944463,1,2
154,378,0.11909938933151376,4321,756.755791972418,139.16662395632085,2,-2.617891688675947,0.1413026691213911,-9.900131135881978,0,1
155,217,0.47150893233128,9167,360.4927205242128,814.5044570681946,35,1.8735957098437663,0.25145431350813596,13.42163042682876,1,2
156,1814,0.8482645909928055,3356,2091.397833832615,301.80545230732145,30,0.2817500427059547,0.3793472848606974,14.930852933524296,1,2
157,1998,-0.12614918659027285,3457,-193.62663419348763,304.52409596370666,19,2.7815139645987914,0.4832863607086853,-1.396440421951887,1,0
158,2290,-0.04701394328201702,-2151,819.5150698040502,600.1295077983989,13,2.9368533596507675,0.3647773140520162,-18.9109729955208,2,1
159,357,0.04089013156674787,6079,51.7870356512729,577.3125411349896,56,1.9406382903464174,0.11542214104992632,8.577069347150822,1,3
160,-144,0.2473150744727331,3417,624.0373931852638,571.1865580227422,32,3.3888771216067366,0.9810707193787281,-10.971199486580495,2,1
161,592,0.5860401236602679,9893,482.58575388167174,248.55254154666062,70,0.33352989218222806,0.005442691139765324,-13.1580131420869,0,2
162,849,0.3790768628984278,18958,1735.8348798415275,366.6741042678514,39,3.007368431309196,0.030172673180787674,-6.31320653874829,0,0
163,165,0.020736908491832073,12703,566.3516911326814,180.38603966876468,58,4.291496498577126,1.0219699558656408,19.24780806958239,0,2
164,658,0.3275339857247932,441,657.1999039311072,93.65019609893912,6,3.3577456231207683,0.06266948344400024,-14.892496108317452,1,2
165,651,0.7993193558030589,14283,556.2539665126966,687.6578687315534,37,2.114116536111386,0.46572993891225245,-3.732566112054002,1,0
166,446,0.015195705212908694,6760,2943.04657997291,193.43110659755777,33,6.510503865578898,0.10396394518125926,29.63317739191816,0,1
167,761,0.25796431900694045,9431,363.76093432740737,232.84531319634277,40,2.59506541424739,1.309668281053669,-20.582521502475217,0,2
168,128,-0.4731459647977133,1728,858.0189538711359,255.54060445383465,75,4.2667222762621,0.1373658733799828,19.87084743093685,2,1
169,732,-0.028311179205153136,13340,-346.85180919250445,144.7651687199642,49,2.9103568097945347,0.01757142461275596,1.2529473020967927,1,0
170,609,-0.5008694297348287,7068,-87.06164250473671,-34.70583610076697,-3,4.612021642609937,0.025241290351501133,36.0772758275475,0,3
171,511,0.4259503184002353,7369,616.8596852559256,839.0172964629071,36,3.9778729616059065,-0.08604375350051954,10.985164364786101,0,2
172,750,0.1682250174124273,8416,-159.34674499465905,824.7234981071117,36,5.097557755113347,-0.18222055089800035,-16.10672007884976,1,0
173,691,1.334023524613019,17162,1056.6439694816524,160.12344418897857,49,-2.5288104147501747,0.6623111957463872,-9.910522333023934,0,0
174,573,0.8704411016739857,3505,1269.8636390958982,237.5683017656459,16,9.00129429101095,-0.08927481336985624,-15.44098432316413,1,1
175,298,-0.5599411182628024,5966,606.3243407115226,148.72834147140452,19,3.1707168149311835,0.0016357892603155871,11.190421470192028,1,0
176,232,-0.4616551997497339,3716,629.2465383712508,264.32853533639,46,2.210493600783235,0.27523471979314273,14.019851366635695,1,3
177,530,0.011005394697376714,3919,1017.4741686113538,734.3070478552969,33,-0.9681604324404793,1.0095090916887464,15.575039240004344,1,3
178,81,0.06721278369511757,7228,566.8642326256644,683.9040778276299,41,-4.9443737206950065,0.214406557432821,-19.402279663003846,0,0
179,202,0.509299955357189,3534,898.9113329412465,246.16896905105523,11,1.7815505229938045,0.5517657685241495,7.2098458852900045,0,1
180,791,-0.27804872522416113,14200,2630.1610152375715,135.50721023841277,32,4.298868972744247,0.07372476969438843,32.01778859365575,0,3
181,135,0.2784090031617075,4782,2061.260238468753,201.63471669290925,4,3.907200132545884,1.0984127590303223,13.073037923091775,0,3
182,234,0.22393760721454137,-1119,348.27421517534333,474.38422923012973,48,-10.319343698812588,1.093376120170101,-14.474063653470473,1,0
183,193,0.4746571692354688,1552,30.240913838622475,185.75277347508478,43,2.168109930227337,0.5868247716755698,-13.598626268418741,2,3
184,939,0.33472345031314144,11637,140.0252357399977,132.78435920047724,40,2.769865882680872,0.38685105932261854,8.744840638338001,1,0
185,1107,1.2729546430479433,4054,641.253593224724,320.35008576485495,19,2.2820931467557344,0.5117498137043934,-10.82176759965327,1,2
186,38,0.6432070113353952,3810,443.52642628217075,702.8716621040551,79,5.3463475790782855,1.0043404915359166,11.405945925330684,1,2
187,72,-0.4310423187705382,2673,618.6101154577543,12.813314437335578,0,0.7892121083584911,0.21468657963800303,13.568205833188316,1,2
188,150,0.3772307894970569,4591,1222.873477259911,528.5422677973772,19,-4.622420507910856,0.9340376564289005,-6.643315815427506,1,3
189,664,0.22827134005473582,14056,223.06128230187934,127.15225675436938,86,2.8618844319963452,-0.041137638778410146,-14.265608488352079,1,2
190,1754,-0.2035536205517232,2912,2336.4583036070194,47.12348197253988,21,4.775686283786335,0.18355236190044694,-21.75797723884161,1,1
191,40,1.0081465639637004,4761,74.74627425566274,999.5228433123086,73,7.2840457136862495,0.7318546143630729,11.307175618932927,0,0
192,1365,0.5579571737570473,7152,282.3643793082979,694.5179934602694,15,2.707997781337802,0.2407453437610265,-22.12495309269344,2,2
193,351,0.3150251412565493,1585,2519.589909268698,257.3485672007639,39,-8.725610859216154,0.56018392795664,2.0739397680210487,2,2
194,1174,1.1515584038516853,11717,498.6877598803347,317.3986019430592,18,-0.4918800955998337,0.372110843878661,11.9658081264377,0,3
195,-46,0.2053360525086273,5969,490.14058566418953,133.3252218371602,34,0.469603651448391,1.2554441078052048,-15.191883237352826,1,0
196,1547,1.6364308654439323,15741,512.744323089255,135.9545445574849,29,2.3670689675923624,-0.16953014914158368,-26.197563282962335,1,0
197,665,0.3799446540316791,7675,-1142.3629393077372,24.784613187003387,16,-1.4562882231092058,-0.04777320822310557,21.29594358860635,0,0
198,422,-0.19833126395746936,11338,57.36567441698031,335.36087569536676,84,6.123003329232831,1.0272418344037042,-7.065995037887667,0,2
199,1396,0.6703581953763944,4331,132.9116950064973,-206.91964519117283,39,0.6241530305508851,0.32601565985872905,36.00138358338859,2,2
200,780,0.2735570564337667,5840,2019.200495365789,777.6265867773222,24,7.534161686103681,0.5691344972583651,-5.443426183743853,2,2
201,128,-0.5676790382710747,2654,4.769671803199174,168.3649975062288,44,1.485458781058925,0.2749582586118083,-3.7289345864092382,2,1
202,191,0.05187782305421612,7624,457.65415626757505,233.33776488979123,43,-2.1350425976674288,1.0053756656305368,21.666876566936878,1,1
203,415,1.113625741927499,3103,-136.67946127830305,267.22618642494047,26,2.7654632944759365,0.8278429100294387,-18.175463207507505,2,1
204,407,0.26934397674394295,3879,259.4932931616561,40.56671662270715,17,-1.1226486197988,0.6026914323229022,-4.1740261948618524,1,1
205,163,1.3628990628225452,190,315.58507255500655,665.4108005789162,64,2.58768329586227,0.3599205438797366,7.579592325538581,2,1
206,-450,-0.3040678666065595,1196,827.9479806357655,336.4159484251845,-2,1.4885630937226535,0.29122339256610397,-18.288703685396293,1,1
207,-26,0.37712523755162886,10939,463.79599800239,214.8704729382368,29,2.5959388369982146,0.954252864939751,-6.866209191415194,2,2
208,1571,-0.06205767757682268,6760,-222.14261653128278,-136.05120376714177,17,2.2845032248645287,0.06758799356300975,-9.500631354335937,1,1
209,319,0.8500463375645729,6293,-285.2964132269286,63.962823517793254,53,1.1456131760871096,0.2899287251800441,-17.809130561168118,1,1
210,878,0.24154524051586995,6851,2007.3672233762195,163.04483061900532,31,3.90482285150743,-0.2421531636822003,18.28440107074085,0,0
211,834,0.5280239313577134,481,2038.9527780177473,963.776447159272,16,3.516685159011169,-0.08631268989511287,24.809073107690196,1,1
